date,Site,Vegeplot,Direction,Tree Species,DBH (cm),# of Egg Masses,Comments,,Notes
May 22 2017,ST_WWS,5,North,White Pine,13,0,,,This is the setup data for the burlap trap FEN experiment
May 22 2017,ST_WWS,,East,Black Birch,31.25,0,,,
May 22 2017,ST_WWS,,South,Sugar Maple,16.2,0,,,Vegeplot stands for the vegetation plot 
May 22 2017,ST_WWS,,West,White Pine,10,0,,,
May 22 2017,ST_WWS,7,North,White oak,32.6,13,,,
May 22 2017,ST_WWS,,East,White Oak,53.5,40,,,
May 22 2017,ST_WWS,,South,Beech Tree,26.1,26,,,
May 22 2017,ST_WWS,,West,White PIne,21.7,3,,,
May 22 2017,ST_WWS,9,North,,,,,,
May 22 2017,ST_WWS,,East,,,,,,
May 22 2017,ST_WWS,,South,,,,,,
May 22 2017,ST_WWS,,West,,,,,,
May 23 2017,ST_FNM,5,North,Beech Tree,12.2,0,,,
May 23 2017,ST_FNM,,West,Sugar Maple,22.5,0,,,
May 23 2017,ST_FNM,,South,Hemlock,14.1,0,,,
May 23 2017,ST_FNM,,East,Red Oak,37,0,,,
May 23 2017,ST_FNM,6,North,Red Oak,50.6,0,,,
May 23 2017,ST_FNM,,East,White Oak,28.5,0,,,
May 23 2017,ST_FNM,,west,Red Maple,29.7,0,,,
May 23 2017,ST_FNM,,south,Black Birch,11.5,0,,,
May 23 2017,ST_FNM,7,North,Pignut Hickory,36.7,0,,,
May 23 2017,ST_FNM,,East,Pignut Hickory,34.4,0,,,
May 23 2017,ST_FNM,,South,Beech Tree,11.8,0,,,
May 23 2017,ST_FNM,,West,Red oak (?),19.2,0,,,
May 23 2017,CV_LFS,7,North,Yellow Birch,19.9,0,,,
May 23 2017,CV_LFS,,East,Red Maple,23.4,0,,,
May 23 2017,CV_LFS,,South,Red Oak,46.9,0,,,
May 23 2017,CV_LFS,,West,Yellow Birch,15.3,0,,,
May 23 2017,CV_LFS,5,North,Yellow Birch,46.4,0,,,
May 23 2017,CV_LFS,,East,Yellow Birch,21.8,0,,,
